timestamp,poseX,poseY,poseZ,oriX,oriY,oriZ,oriW
0,-1.401263,-0.7297361,2.423575,0.4910442,0.1770107,0.1518571,0.8393344
142857,-1.406282,-0.7299057,2.429765,0.4895872,0.1779605,0.1519119,0.8399746
285714,-1.409241,-0.7288755,2.436024,0.4880433,0.1824304,0.1500698,0.8402452
428571,-1.420524,-0.7326925,2.440976,0.4910199,0.1652599,0.1555925,0.8410586
571428,-1.426267,-0.7335188,2.446626,0.4926887,0.1617335,0.1568026,0.8405433
714285,-1.433824,-0.7357833,2.451766,0.4970995,0.1517597,0.1629332,0.8386381
857142,-1.440609,-0.7374374,2.457043,0.498591,0.1429929,0.1701744,0.8378548
999999,-1.447396,-0.7392185,2.462475,0.4984357,0.133088,0.1791316,0.8377119
1142856,-1.454322,-0.7414232,2.468188,0.4966277,0.1199198,0.1893439,0.838528
1285713,-1.460611,-0.7433727,2.474147,0.4922348,0.1081499,0.1994822,0.8403662
1428570,-1.466479,-0.7446588,2.479965,0.4897982,0.1008208,0.2059239,0.841147
1571427,-1.471487,-0.7461883,2.485685,0.482931,0.09484982,0.214459,0.8436756
1714284,-1.476054,-0.7470408,2.490774,0.4802409,0.09206365,0.2181041,0.8445849
1857141,-1.481135,-0.7477949,2.4959,0.4785623,0.08698621,0.2222464,0.844996
1999998,-1.484934,-0.7462903,2.498891,0.4769543,0.08332856,0.2257695,0.8453397
2142855,-1.488755,-0.7444738,2.502103,0.4738404,0.08092847,0.2311754,0.8458627
2285712,-1.493227,-0.7438647,2.506323,0.4713173,0.07769071,0.2359596,0.8462548
2428569,-1.494538,-0.7393446,2.507744,0.4691127,0.08864658,0.2324817,0.847365
2571426,-1.496007,-0.7358502,2.509747,0.4688419,0.101694,0.2253059,0.8479876
2714283,-1.499514,-0.734367,2.513323,0.4673319,0.1038323,0.225411,0.8485338
2857140,-1.499385,-0.7291273,2.513098,0.4682395,0.1245422,0.2054561,0.850311
2999997,-1.501582,-0.7259269,2.514273,0.4669744,0.1319602,0.1971334,0.8518567
3142854,-1.504623,-0.7238638,2.517168,0.465506,0.1362081,0.1943214,0.8526375
3285711,-1.505933,-0.7201818,2.513919,0.465816,0.1379395,0.1865423,0.8539263
3428568,-1.508109,-0.7181532,2.513827,0.4664744,0.1391999,0.1837694,0.8539636
3571425,-1.510755,-0.7158802,2.515466,0.4655758,0.1425685,0.1803904,0.8546185
3714282,-1.510719,-0.7164887,2.511087,0.4733049,0.1372752,0.1814534,0.8510069
3857139,-1.511629,-0.7164054,2.510089,0.4765222,0.1365132,0.1814151,0.8493406
3999996,-1.511479,-0.7179875,2.508441,0.4801129,0.1346759,0.1841884,0.8470116
4142853,-1.511613,-0.7191113,2.507334,0.4825311,0.1335842,0.1857118,0.8454763
4285710,-1.51127,-0.7205034,2.506307,0.4847142,0.1322719,0.1865197,0.8442551
4428567,-1.510646,-0.7235475,2.504033,0.4898248,0.1286596,0.1888606,0.8413383
4571424,-1.509931,-0.7263519,2.5019,0.4940743,0.1231554,0.1928638,0.8387651
4714281,-1.509681,-0.7284742,2.500128,0.4985174,0.117873,0.1955815,0.836262
